Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M97,North Shore Ave (E),TG3,NSC Lower (NSWRP),Stickney,5/25/2016 21:24,5/25/2016 21:25,:00:01:08
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:39,5/25/2016 21:40,:00:01:08
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:04,5/25/2016 21:42,:00:37:40
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,5/25/2016 20:57,5/25/2016 21:43,:00:45:34
"DS-D47,50,51 & DS-13A-1",Konrad Ave and Patricia Dr. (S),TG3,Salt Cr,Stickney,5/25/2016 21:44,5/25/2016 21:47,:00:02:28
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 21:25,5/25/2016 21:48,:00:23:20
DS-M73,McLean Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:25,5/25/2016 21:49,:00:23:56
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 21:22,5/25/2016 21:49,:00:27:36
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 21:26,5/25/2016 21:52,:00:26:32
DS-M10,Lombard Ave (N),TG2,CSSC Lower (SWRP),Stickney,5/25/2016 21:51,5/25/2016 21:53,:00:01:20
DS-M09,Hiawatha Ave (Highland Ave ext.) (N),TG1,CSSC Lower (SWRP),Stickney,5/25/2016 20:48,5/25/2016 21:55,:01:07:16
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 21:24,5/25/2016 21:55,:00:30:40
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:38,5/25/2016 21:55,:03:16:34
DS-M97,Pratt Ave (E),TG1,NSC Lower (NSWRP),Stickney,5/25/2016 21:28,5/25/2016 21:56,:00:27:56
DS-M97,Pratt Ave (E),TG2,NSC Lower (NSWRP),Stickney,5/25/2016 21:28,5/25/2016 21:56,:00:27:56
DS-M10,Lombard Ave (N),TG3,CSSC Lower (SWRP),Stickney,5/25/2016 21:37,5/25/2016 21:58,:00:20:56
DS-M09,Hiawatha Ave (Highland Ave ext.) (N),TG1,CSSC Lower (SWRP),Stickney,5/25/2016 21:55,5/25/2016 21:59,:00:03:36
DS-M10,Lombard Ave (N),TG3,CSSC Lower (SWRP),Stickney,5/25/2016 21:59,5/25/2016 22:01,:00:02:36
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:26,5/25/2016 22:02,:00:35:32
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,5/25/2016 20:22,5/25/2016 22:03,:01:40:56
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:24,5/25/2016 22:04,:00:39:48
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 21:41,5/25/2016 22:05,:00:24:32
DS-M10,Lombard Ave (N),TG3,CSSC Lower (SWRP),Stickney,5/25/2016 22:02,5/25/2016 22:06,:00:04:04
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,5/25/2016 22:03,5/25/2016 22:07,:00:03:44
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 22:06,5/25/2016 22:07,:00:01:24
